n porównania przestawienia czas
800 46794 32977 1.108 
800 46813 33391 1.155 
800 45065 32058 1.151 
800 45295 32319 1.177 
800 46496 33310 0.796 
800 44886 32395 1.096 
800 46143 33039 1.115 
800 45642 32920 1.556 
800 47396 33514 1.125 
800 47359 34104 1.153 
800 45808 32737 1.107 
800 45919 32823 1.114 
800 46515 33127 0.784 
800 45876 33150 1.14 
800 45903 32731 1.133 
800 43790 31229 1.083 
800 47281 33591 1.357 
800 43706 31239 0.756 
800 45962 33032 1.169 
800 45005 31460 1.07 
800 45870 32908 1.101 
800 45999 32557 1.087 
800 46418 33247 1.128 
800 46692 33210 0.815 
800 44843 31898 1.112 
800 46565 33310 1.147 
800 46182 33175 1.576 
800 46748 33555 1.71 
800 44552 31359 0.745 
800 46465 33093 1.096 
800 47452 33855 1.412 
800 46828 33302 1.136 
800 46126 32940 1.111 
800 45425 31934 1.107 
800 45750 33049 1.131 
800 45936 32773 1.641 
800 46751 33640 1.131 
800 46974 33323 1.121 
800 46735 33541 1.156 
800 45221 32124 1.108 
800 46111 32662 1.661 
800 46421 33225 1.162 
800 46048 32731 1.087 
800 45536 32567 1.351 
800 46442 32931 1.393 
800 46281 32895 1.634 
800 45927 32916 1.091 
800 45189 32619 1.082 
800 45830 32905 1.106 
800 46743 33455 1.671 
800 46522 33108 1.176 
800 47069 33596 1.563 
800 46753 33765 1.132 
800 45567 32162 0.811 
800 45539 32563 1.118 
800 45448 32628 1.113 
800 44200 31144 1.119 
800 44461 32134 1.066 
800 46002 33275 1.109 
800 46025 32764 1.12 
800 46107 33195 0.804 
800 46577 33565 1.373 
800 46922 33370 1.686 
800 47387 34465 1.169 
800 46596 33249 0.826 
800 46265 33175 1.122 
800 47040 33572 1.114 
800 46442 33473 1.128 
800 46530 33054 1.216 
800 46867 33638 1.117 
800 46871 33249 1.116 
800 45846 32683 1.128 
800 46448 32743 1.117 
800 46283 33090 1.118 
800 46706 33445 1.122 
800 46409 32881 1.66 
800 46295 32844 0.777 
900 51912 37772 1.297 
900 52368 38077 1.321 
900 50768 36994 1.098 
900 52346 37704 0.913 
900 53295 37469 0.925 
900 53260 38064 1.479 
900 52820 38126 1.341 
900 53587 38705 1.274 
900 52590 37931 1.289 
900 53543 38057 0.932 
900 51466 36609 1.708 
900 53604 38481 1.881 
900 52811 37691 1.881 
900 52548 38122 1.362 
900 53083 38091 0.901 
900 52303 37680 1.74 
900 52419 37682 0.889 
900 51877 37315 1.238 
900 52335 37898 1.287 
900 53530 38383 1.784 
900 53524 37945 1.921 
900 54051 38367 1.293 
900 51311 37076 0.928 
900 52714 37416 1.247 
900 54062 38849 1.319 
900 53680 38413 1.917 
900 52622 37447 1.842 
900 53156 38383 1.885 
900 52490 38112 0.897 
900 52768 38372 1.897 
900 53119 37755 1.244 
900 53168 38301 1.263 
900 52990 37789 1.587 
900 52145 37539 1.809 
900 53460 37994 1.278 
900 52319 37836 1.262 
900 52858 38287 1.251 
900 54192 38711 0.912 
900 53079 38406 1.259 
900 52724 38223 1.256 
900 53504 38792 1.272 
900 52018 37316 1.271 
900 52241 37324 1.875 
900 52683 37647 1.276 
900 52371 37657 1.241 
900 53195 38645 1.264 
900 53119 37901 0.877 
900 53488 38304 1.4 
900 52040 37596 1.272 
900 53881 38799 1.349 
900 53536 38330 1.805 
900 54390 39099 0.939 
900 52219 36882 1.254 
900 51739 36783 1.6 
900 52749 37897 1.263 
900 53232 38175 0.919 
900 50735 36692 1.283 
900 52807 37759 1.81 
900 52636 37704 1.92 
900 53184 37903 1.888 
900 52447 38062 1.871 
900 51436 37428 1.225 
900 53383 38845 1.287 
900 50955 36075 1.728 
900 53469 38409 1.272 
900 53732 38942 1.967 
900 52886 37883 1.262 
900 52328 37187 0.877 
900 52547 37651 1.294 
900 54524 38432 1.294 
900 52775 37692 1.264 
900 53097 37565 1.855 
900 53796 38511 1.271 
900 53249 38119 1.685 
900 52975 38162 1.879 
900 53182 38492 1.278 
900 52895 38441 1.836 
900 52902 38043 1.547 
900 53701 38193 1.572 
900 53098 37800 1.037 
900 52704 37654 1.248 
900 51653 37002 1.273 
900 53035 37549 1.884 
900 52799 37991 1.939 
900 53741 38229 1.27 
900 52017 37692 1.237 
900 53352 38048 1.929 
900 53013 38056 1.691 
900 52088 37931 1.753 
900 53455 38614 1.627 
900 53380 38802 1.347 
900 50103 35751 1.196 
900 53193 38129 1.806 
900 52895 37411 1.317 
900 54210 38847 1.273 
900 53266 37875 1.85 
900 53074 38543 1.731 
900 53314 38487 1.261 
900 51598 37067 1.252 
900 52634 37594 1.582 
1000 56924 40803 1.099 
1000 53329 38250 1.029 
1000 60180 43115 2.012 
1000 60150 43347 1.58 
1000 59961 43615 1.462 
1000 59658 42916 1.427 
1000 59645 43482 1.509 
1000 60144 42569 1.482 
1000 60307 43576 2.02 
1000 60562 43354 1.758 
1000 59073 43238 1.404 
1000 59572 43066 1.418 
1000 59233 42549 1.397 
1000 59424 43048 1.975 
1000 59061 42211 2.095 
1000 60468 43436 2.159 
1000 59678 43291 1.919 
1000 60878 43231 1.001 
1000 56051 40361 1.808 
1000 59116 42426 2.079 
1000 59867 43198 1.51 
1000 60071 42906 1.525 
1000 57814 41779 1.963 
1000 59619 42847 0.999 
1000 61360 43868 2.24 
1000 57935 42371 1.914 
1000 59730 42441 2.149 
1000 59761 43211 2.107 
1000 60480 44236 1.049 
1000 57175 41063 1.439 
1000 59723 43339 1.423 
1000 62019 44066 1.501 
1000 58221 41811 1.47 
1000 60576 43280 1.457 
1000 60724 43533 1.506 
1000 59813 42877 1.42 
1000 58780 42753 1.537 
1000 60660 43352 1.431 
1000 60503 43451 1.417 
1000 59845 42886 1.44 
1000 57303 41081 1.373 
1000 57065 41439 2.04 
1000 60554 43708 1.528 
1000 59767 42682 1.384 
1000 60078 43041 1.589 
1000 60547 43579 1.422 
1000 61374 43825 2.164 
1000 60366 42973 2.165 
1000 59790 43218 2.138 
1000 58873 43108 2.136 
1000 59189 42974 1.387 
1000 60355 43077 1.436 
1000 58921 42649 1.404 
1000 57936 41890 2.1 
1000 58981 42393 1.984 
1000 59310 42526 1.5 
1000 60230 43236 2.121 
1000 60493 43468 1.452 
1000 60825 43559 1.422 
1000 60459 43003 1.417 
1000 58621 41583 2.07 
1000 59892 42493 1.749 
1000 61046 44092 1.434 
1000 59749 43085 2.152 
1000 59534 42664 0.982 
1000 62917 44974 1.492 
1000 59447 42720 1.267 
1000 59540 43288 1.508 
1000 59548 43421 2.073 
1000 60411 44167 1.213 
1000 61431 43895 1.46 
1000 60402 42939 1.454 
1000 60582 43370 1.57 
1000 59668 43057 1.721 
1000 60497 43404 1.571 
1000 60114 43482 1.441 
1000 57761 41450 1.402 
1000 58187 41512 1.427 
1000 61233 43879 1.696 
1000 60038 42718 1.62 
1000 60707 43311 1.58 
1000 59866 42621 1.519 
1000 59753 43492 1.483 
1000 59781 43006 1.464 
1000 59730 43299 2.137 
1000 60206 43628 1.476 
1000 58795 42629 1.086 
1000 59330 43016 1.48 
1000 57488 41757 2.05 
1000 59630 43283 1.42 
1000 59442 42448 1.003 
1000 59950 43876 2.134 
1000 59290 43154 1.927 
1000 58408 42445 2.1 
1000 59900 43245 1.406 
1000 60577 43214 1.51 
1000 57833 41530 1.467 
1000 60454 43840 1.446 
1000 58532 41932 1.862 
1000 60199 43632 1.469 
1100 64704 46785 1.762 
1100 67364 48625 1.225 
1100 66559 48547 1.226 
1100 66206 47153 1.196 
1100 67877 48136 1.727 
1100 66288 48326 2.32 
1100 66967 48396 2.278 
1100 65080 46953 2.032 
1100 66596 48180 2.278 
1100 68107 49016 2.065 
1100 66272 47662 1.545 
1100 65153 45919 1.553 
1100 66098 47383 1.883 
1100 68338 49231 1.634 
1100 68168 49212 1.63 
1100 66725 48250 1.62 
1100 67409 48591 1.612 
1100 64250 46532 1.549 
1100 68066 48814 1.555 
1100 67375 49280 1.712 
1100 65086 47031 1.535 
1100 67385 48826 1.599 
1100 68293 48640 1.099 
1100 66841 48229 1.57 
1100 63354 45953 1.095 
1100 65525 47931 2.265 
1100 68346 48940 1.703 
1100 67064 47818 1.671 
1100 68406 49331 1.612 
1100 67378 47973 2.233 
1100 67146 48621 2.301 
1100 65875 47241 1.951 
1100 66878 48858 1.579 
1100 65913 47848 1.593 
1100 63177 45473 1.681 
1100 66751 47843 2.349 
1100 66549 47415 1.743 
1100 66984 48861 2.415 
1100 67102 47631 2.094 
1100 67070 48708 1.59 
1100 67017 48353 2.249 
1100 67010 47999 2.057 
1100 67146 48156 2.377 
1100 64204 45657 1.496 
1100 67444 48715 1.602 
1100 69596 49671 1.654 
1100 67228 48343 1.696 
1100 65324 47643 2.298 
1100 66961 48698 2.276 
1100 65239 47390 2.127 
1100 65963 47904 2.243 
1100 65544 47383 1.56 
1100 67043 48701 1.139 
1100 66519 48629 1.594 
1100 66916 48623 1.149 
1100 67764 49293 1.718 
1100 65763 47636 1.635 
1100 67603 48119 1.611 
1100 64056 45963 2.327 
1100 66922 48437 2.401 
